"category_name","num_orders"
"agro_industry_and_commerce","182"
"air_conditioning","253"
"art","202"
"arts_and_craftmanship","23"
"audio","350"
"auto","3896"
"baby","2884"
"bed_bath_table","9417"
"books_general_interest","512"
"books_imported","53"
"books_technical","260"
"cds_dvds_musicals","12"
"christmas_supplies","128"
"cine_photo","65"
"computers","181"
"computers_accessories","6689"
"consoles_games","1062"
"construction_tools_construction","748"
"construction_tools_lights","244"
"construction_tools_safety","167"
"cool_stuff","3631"
"costruction_tools_garden","194"
"costruction_tools_tools","97"
"diapers_and_hygiene","27"
"drinks","297"
"dvds_blu_ray","59"
"electronics","2549"
"fashio_female_clothing","39"
"fashion_bags_accessories","1864"
"fashion_childrens_clothes","8"
"fashion_male_clothing","112"
"fashion_shoes","240"
"fashion_sport","27"
"fashion_underwear_beach","121"
"fixed_telephony","217"
"flowers","29"
"food","450"
"food_drink","227"
"furniture_bedroom","95"
"furniture_decor","6449"
"furniture_living_room","422"
"furniture_mattress_and_upholstery","38"
"garden_tools","3518"
"health_beauty","8836"
"home_appliances","764"
"home_appliances_2","234"
"home_comfort_2","24"
"home_confort","397"
"home_construction","490"
"housewares","5884"
"industry_commerce_and_business","235"
"kitchen_dining_laundry_garden_furniture","248"
"la_cuisine","13"
"luggage_accessories","1034"
"market_place","280"
"music","38"
"musical_instruments","628"
"office_furniture","1273"
"party_supplies","39"
"perfumery","3160"
"pet_shop","1710"
"security_and_services","2"
"signaling_and_security","140"
"small_appliances","630"
"small_appliances_home_oven_and_coffee","75"
"sports_leisure","7720"
"stationery","2311"
"tablets_printing_image","79"
"telephony","4199"
"toys","3886"
"watches_gifts","5624"
