"category_name","revenue"
"health_beauty","926020.44"
"watches_gifts","906918.69"
"sports_leisure","833279.68"
"bed_bath_table","759319.63"
"computers_accessories","741547.96"
"furniture_decor","662031.12"
"housewares","603610.22"
"auto","518451.50"
"cool_stuff","443199.94"
"toys","399933.18"
"garden_tools","399058.15"
"baby","356994.74"
"perfumery","307322.37"
"office_furniture","291447.51"
"telephony","247537.35"
"pet_shop","211669.75"
"stationery","189724.08"
"musical_instruments","185856.35"
"small_appliances","177796.03"
"computers","156516.69"
"electronics","152065.90"
"construction_tools_construction","149180.45"
"fashion_bags_accessories","129866.95"
"luggage_accessories","126327.12"
"consoles_games","123176.83"
"home_appliances_2","102955.62"
"home_construction","85157.08"
"agro_industry_and_commerce","74761.36"
"furniture_living_room","72932.27"
"home_appliances","71353.66"
"fixed_telephony","58497.48"
"air_conditioning","56950.89"
"home_confort","50840.36"
"kitchen_dining_laundry_garden_furniture","49125.06"
"construction_tools_lights","42988.01"
"industry_commerce_and_business","42368.24"
"construction_tools_safety","42069.89"
"small_appliances_home_oven_and_coffee","39395.36"
"books_general_interest","38517.97"
"audio","35908.14"
"market_place","31358.84"
"costruction_tools_garden","30505.20"
"signaling_and_security","27063.45"
"food","24321.98"
"drinks","21809.51"
"furniture_bedroom","21577.39"
"art","20947.52"
"books_technical","20008.21"
"fashion_shoes","18784.51"
"food_drink","16110.74"
"costruction_tools_tools","13845.30"
"fashion_male_clothing","11157.39"
"christmas_supplies","9308.96"
"cine_photo","7526.49"
"fashion_underwear_beach","6661.52"
"music","6254.11"
"tablets_printing_image","5811.87"
"dvds_blu_ray","5309.50"
"party_supplies","5009.35"
"books_imported","4482.27"
"furniture_mattress_and_upholstery","3923.42"
"fashio_female_clothing","2993.21"
"fashion_sport","2744.40"
"la_cuisine","2579.41"
"arts_and_craftmanship","2041.86"
"diapers_and_hygiene","1711.61"
"flowers","1634.54"
"home_comfort_2","1116.72"
"fashion_childrens_clothes","718.98"
"cds_dvds_musicals","430.79"
"security_and_services","324.51"
