"category_name","answer_time"
"agro_industry_and_commerce","3.21"
"air_conditioning","2.76"
"art","3.25"
"arts_and_craftmanship","3.29"
"audio","2.06"
"auto","2.58"
"baby","2.52"
"bed_bath_table","2.45"
"books_general_interest","2.33"
"books_imported","2.10"
"books_technical","2.12"
"cds_dvds_musicals","2.14"
"christmas_supplies","2.99"
"cine_photo","1.90"
"computers","2.52"
"computers_accessories","2.49"
"consoles_games","2.55"
"construction_tools_construction","2.69"
"construction_tools_lights","2.36"
"construction_tools_safety","2.54"
"cool_stuff","2.93"
"costruction_tools_garden","1.91"
"costruction_tools_tools","1.98"
"diapers_and_hygiene","3.77"
"drinks","1.85"
"dvds_blu_ray","2.38"
"electronics","2.41"
"fashio_female_clothing","4.38"
"fashion_bags_accessories","2.38"
"fashion_childrens_clothes","3.63"
"fashion_male_clothing","2.52"
"fashion_shoes","2.15"
"fashion_sport","10.58"
"fashion_underwear_beach","2.12"
"fixed_telephony","2.74"
"flowers","1.81"
"food","2.04"
"food_drink","1.62"
"furniture_bedroom","3.35"
"furniture_decor","2.60"
"furniture_living_room","2.41"
"furniture_mattress_and_upholstery","2.29"
"garden_tools","2.99"
"health_beauty","2.65"
"home_appliances","2.60"
"home_appliances_2","2.96"
"home_comfort_2","10.26"
"home_confort","2.52"
"home_construction","2.02"
"housewares","2.67"
"industry_commerce_and_business","4.39"
"kitchen_dining_laundry_garden_furniture","2.59"
"la_cuisine","2.31"
"luggage_accessories","2.49"
"market_place","3.79"
"music","2.89"
"musical_instruments","2.70"
"office_furniture","3.04"
"party_supplies","1.74"
"perfumery","2.45"
"pet_shop","2.28"
"security_and_services","1.00"
"signaling_and_security","2.48"
"small_appliances","2.25"
"small_appliances_home_oven_and_coffee","2.07"
"sports_leisure","2.51"
"stationery","2.36"
"tablets_printing_image","2.52"
"telephony","2.34"
"toys","3.03"
"watches_gifts","2.42"
