"category_name","shipping_cost"
"agro_industry_and_commerce","27.56"
"air_conditioning","22.72"
"art","19.35"
"arts_and_craftmanship","15.42"
"audio","15.69"
"auto","21.88"
"baby","22.30"
"bed_bath_table","18.42"
"books_general_interest","16.63"
"books_imported","12.83"
"books_technical","16.04"
"cds_dvds_musicals","16.07"
"christmas_supplies","21.11"
"cine_photo","17.45"
"computers","48.45"
"computers_accessories","18.82"
"consoles_games","17.44"
"construction_tools_construction","22.23"
"construction_tools_lights","24.95"
"construction_tools_safety","20.20"
"cool_stuff","22.14"
"costruction_tools_garden","22.32"
"costruction_tools_tools","19.71"
"diapers_and_hygiene","14.71"
"drinks","15.15"
"dvds_blu_ray","20.14"
"electronics","16.83"
"fashio_female_clothing","12.95"
"fashion_bags_accessories","15.48"
"fashion_childrens_clothes","11.94"
"fashion_male_clothing","16.31"
"fashion_shoes","18.77"
"fashion_sport","19.27"
"fashion_underwear_beach","14.63"
"fixed_telephony","17.57"
"flowers","14.81"
"food","14.26"
"food_drink","16.22"
"furniture_bedroom","42.50"
"furniture_decor","20.73"
"furniture_living_room","35.72"
"furniture_mattress_and_upholstery","42.91"
"garden_tools","22.77"
"health_beauty","18.88"
"home_appliances","19.22"
"home_appliances_2","44.54"
"home_comfort_2","13.68"
"home_confort","19.59"
"home_construction","22.90"
"housewares","20.99"
"industry_commerce_and_business","29.42"
"kitchen_dining_laundry_garden_furniture","42.70"
"la_cuisine","23.83"
"luggage_accessories","27.88"
"market_place","17.54"
"music","18.17"
"musical_instruments","27.41"
"office_furniture","40.55"
"party_supplies","19.26"
"perfumery","15.86"
"pet_shop","20.32"
"security_and_services","20.61"
"signaling_and_security","32.70"
"small_appliances","23.59"
"small_appliances_home_oven_and_coffee","36.16"
"sports_leisure","19.51"
"stationery","18.59"
"tablets_printing_image","14.77"
"telephony","15.67"
"toys","18.81"
"watches_gifts","16.78"
