"category_name","average_rating"
"agro_industry_and_commerce","4.00"
"air_conditioning","3.97"
"art","3.94"
"arts_and_craftmanship","4.13"
"audio","3.83"
"auto","4.07"
"baby","4.01"
"bed_bath_table","3.90"
"books_general_interest","4.45"
"books_imported","4.40"
"books_technical","4.37"
"cds_dvds_musicals","4.64"
"christmas_supplies","4.02"
"cine_photo","4.21"
"computers","4.18"
"computers_accessories","3.93"
"consoles_games","4.02"
"construction_tools_construction","4.05"
"construction_tools_lights","4.05"
"construction_tools_safety","3.84"
"cool_stuff","4.15"
"costruction_tools_garden","4.05"
"costruction_tools_tools","4.44"
"diapers_and_hygiene","3.26"
"drinks","4.05"
"dvds_blu_ray","4.08"
"electronics","4.04"
"fashio_female_clothing","3.78"
"fashion_bags_accessories","4.14"
"fashion_childrens_clothes","4.50"
"fashion_male_clothing","3.64"
"fashion_shoes","4.23"
"fashion_sport","4.26"
"fashion_underwear_beach","3.98"
"fixed_telephony","3.68"
"flowers","4.42"
"food","4.22"
"food_drink","4.32"
"furniture_bedroom","4.12"
"furniture_decor","3.90"
"furniture_living_room","3.90"
"furniture_mattress_and_upholstery","3.82"
"garden_tools","4.04"
"health_beauty","4.14"
"home_appliances","4.17"
"home_appliances_2","4.14"
"home_comfort_2","3.63"
"home_confort","3.83"
"home_construction","3.94"
"housewares","4.06"
"industry_commerce_and_business","4.10"
"kitchen_dining_laundry_garden_furniture","3.96"
"la_cuisine","4.00"
"luggage_accessories","4.32"
"market_place","4.02"
"music","4.21"
"musical_instruments","4.15"
"office_furniture","3.49"
"party_supplies","3.77"
"perfumery","4.16"
"pet_shop","4.19"
"security_and_services","2.50"
"signaling_and_security","4.09"
"small_appliances","4.15"
"small_appliances_home_oven_and_coffee","4.30"
"sports_leisure","4.11"
"stationery","4.19"
"tablets_printing_image","4.12"
"telephony","3.95"
"toys","4.16"
"watches_gifts","4.02"
